Sr No,Main SKU IC,Main SKU Descp.,LH Handle IC,LH Handle Desc,LH Colour,RH Handle IC,RH Handle Desc,RH Handle Colour,Packet 2 IC,Packet 2 Desc,LH Side Stiffner IC,LH Side Stiffner Desc,LH Side Stiffner Colour,RH Side Stiffner IC,RH Side Stiffner Desc,RH Side Stiffner Colour,Packet 1 IC,Packet 1 Desc,Packet 4 IC,Packet 4 IC Desc,Packet 3 IC,Packet 3 Desc
1,30161803SD00694,Slide & Store COMPACT TEX  RAL 3027,56101905DG08971,SNS CompctDoorhandleLHBndWht,Tex Bond White,56101905DG08975,SNS CompctDoorhandleRhBndWht,Tex Bond White,56101999SD11214,Slide & Store COMPACT Packet 2 Tex Bond White,56101905DG13738,SNS ComptSD StfnrLhFrm Blushrd,TEX  RAL 3027,56101905DG13739,SNS ComptSD StfnrRhFrm Blushrd,TEX  RAL 3027,56101999SD25934,Slide & Store COMPACT Packet 1 TEX  RAL 3027 + Tex Bond White,56101999SD25936,Slide & Store COMPACT Packet 4 TEX  RAL 3027,56101999SD25935,Slide & Store COMPACT Packet 3 TEX  RAL 3027
2,30161803SD00458,Slide & Store COMPACT Tex. Shell Wine Red,56101905DG08971,SNS CompctDoorhandleLHBndWht,Tex Bond White,56101905DG08975,SNS CompctDoorhandleRhBndWht,Tex Bond White,56101999SD11214,Slide & Store COMPACT Packet 2 Tex Bond White,56101905DG09717,SNS CompctSideStfnrLhFrm WINE,Tex. Shell Wine Red,56101905DG09720,SNS CompctSideStfnrRhFrm WINE,Tex. Shell Wine Red,56101999SD25933,Slide & Store COMPACT Packet 1,56101999SD25931,Slide & Store COMPACT Packet 4,56101999SD25932,Slide & Store COMPACT Packet 3
3,30161803SD00315,Slide & Store COMPACT Tex.Phiroja Blue,56101905DG08971,SNS CompctDoorhandleLHBndWht,Tex Bond White,56101905DG08975,SNS CompctDoorhandleRhBndWht,Tex Bond White,56101999SD11214,Slide & Store COMPACT Packet 2 Tex Bond White,56101905DG09026,SNS Compct SD StfnrLHFrm SWRED,Tex.Phiroja Blue,56101905DG09704,SNS Comp SdStfnRhFrm WINE RED,Tex.Phiroja Blue,56101999SD11215,Slide & Store COMPACT Packet 1,56101999SD11169,Slide & Store COMPACT Packet 4,56101999SD11216,Slide & Store COMPACT Packet 3
4,30161803SD00325,Slide & Store COMPACT Tex Bond White,56101905DG08971,SNS CompctDoorhandleLHBndWht,Tex Bond White,56101905DG08975,SNS CompctDoorhandleRhBndWht,Tex Bond White,56101999SD11214,Slide & Store COMPACT Packet 2,56101905DG09049,SNS Compct SD StfnrLH Frm,Tex Bond White,56101905DG09052,SNS Compct SD StfnRhFrm BWHITE,Tex Bond White,56101999SD11212,Slide & Store COMPACT Packet 1,56101999SD11166,Slide & Store COMPACT Packet 4,56101999SD11213,Slide & Store COMPACT Packet 3
5,30161803SD00693,Slide & Store COMPACT PLUS TEX  RAL 3027,56101905DG08992,SNS CompctPLSDoorHandleLhBndWh,Tex Bond White,56101905DG09000,SNS CompctPLSDoorHandleRh BndW,Tex Bond White,56101999SD11207,Slide & Store COMPACT PLUS Packet 2,56101905DG13728,SNS CmpctPLSSd StfnLhFrm BlRed,TEX  RAL 3027,56101905DG13729,SNS CmpctPLSSd StfnRhFrm BlRed,TEX  RAL 3027,56101999SD16479,Slide & Store COMPACT PLUS Packet 1,56101999SD16481,Slide & Store COMPACT PLUS Packet 4,56101999SD16480,Slide & Store COMPACT PLUS Packet 3
6,30161803SD00307,Slide & Store COMPACT PLUS Tex. Shell Wine Red,56101905DG08992,SNS CompctPLSDoorHandleLhBndWh,Tex Bond White,56101905DG09000,SNS CompctPLSDoorHandleRh BndW,Tex Bond White,56101999SD11207,Slide & Store COMPACT PLUS Packet 2,56101905DG09088,SNS Comp P SdStfLhFrm TxBWHITE,Tex. Shell Wine Red,56101905DG09093,SNS Comp P SdStfnRhFrm TxSWRED,Tex. Shell Wine Red,56101999SD11208,Slide & Store COMPACT PLUS Packet 1,56101999SD11160,Slide & Store COMPACT PLUS Packet 4,56101999SD11209,Slide & Store COMPACT PLUS Packet 3
7,30161803SD00308,Slide & Store COMPACT PLUS Tex.Phiroja Blue,56101905DG08992,SNS CompctPLSDoorHandleLhBndWh,Tex Bond White,56101905DG09000,SNS CompctPLSDoorHandleRh BndW,Tex Bond White,56101999SD11207,Slide & Store COMPACT PLUS Packet 2,56101905DG09166,SNS Comp P SdStfnLhFrm TxPBLUE,TEX PHIROJA BLUE,56101905DG09170,SNS Comp P SdStfnRhFrm TxPBLUE,TEX PHIROJA BLUE,56101999SD11210,Slide & Store COMPACT PLUS Packet 1,56101999SD11164,Slide & Store COMPACT PLUS Packet 4,56101999SD11211,Slide & Store COMPACT PLUS Packet 3
8,30161803SD00309,Slide & Store COMPACT PLUS Tex Bond White,56101905DG08992,SNS CompctPLSDoorHandleLhBndWh,Tex Bond White,56101905DG09000,SNS CompctPLSDoorHandleRh BndW,Tex Bond White,56101999SD11207,Slide & Store COMPACT PLUS Packet 2,56101905DG09088,SNS Comp P SdStfLhFrm TxBWHITE,TEX BOND WHITE,56101905DG09219,SNS Comp P SdStfRhFrm TxBWHITE,SNS Comp P SdStfLhFrm TxBWHITE,56101999SD11205,Slide & Store COMPACT PLUS Packet 1,56101999SD11155,Slide & Store COMPACT PLUS Packet 4,56101999SD11206,Slide & Store COMPACT PLUS Packet 3
9,30161803SD00775,Slide & Store COMPACT PLUS Tex.DEEP PURPLE,56101905DG08971,SNS CompctDoorhandleLHBndWht,Tex Bond White,56101905DG08975,SNS CompctDoorhandleRhBndWht,Tex Bond White,56101999SD11207,Slide & Store COMPACT PLUS Packet 2,56101905DG15561,SNS CompPNtcSd StfnrLhTxDpPurp,TEX DEEP PURPLE 3555,56101905DG15562,SNS Comp P SdStfn RhF TxDpPurp,TEX DEEP PURPLE 3555,56101999SD18697,Slide & Store COMPACT PLUS Packet 1,56101999SD18699,Slide & Store COMPACT PLUS Packet 4,56101999SD18698,Slide & Store COMPACT PLUS Packet 3
10,30161803SD00696,Slide & Store PRO PLUS TEX  RAL 3027,56101905DG21128,SNS DR HANDLE PLUS_LH,Tex Bond White,56101905DG09000,SNS CompctPLSDoorHandleRh BndW,Tex Bond White,56101999SD11186,Slide & Store PRO PLUS Packet 2,56101905DG13728,SNS CmpctPLSSd StfnLhFrm BlRed,TEX  RAL 3027,56101905DG13729,SNS CmpctPLSSd StfnRhFrm BlRed,TEX  RAL 3027,56101999SD16499,Slide & Store PRO PLUS Packet 1,56101999SD16501,Slide & Store PRO PLUS Packet 4,56101999SD16500,Slide & Store PRO PLUS Packet 3
