DATE,PRODUCTION NO,ITEMCODE,DESCRIPTION,COLOUR,QTY,PRIORITY,IN-Time,OUT-Time
2022-05-26,K2W001355,56101999SD11214,Slide & Store COMPACT Packet 2,Tex Bond White,50,1,09:00:00,09:50:00
2022-05-26,K2W001354,56101999SD11212,Slide & Store COMPACT Packet 1,Tex Bond White,50,1,09:58:00,10:48:00
2022-05-26,K2W001356,56101999SD11213,Slide & Store COMPACT Packet 3,Tex Bond White,50,1,10:56:00,11:46:00
2022-05-26,K2W001357,56101999SD11166,Slide & Store COMPACT Packet 4,Tex Bond White,50,1,11:54:00,12:00:00
 , , ,Break, , ,, , 
2022-05-26,K2W001357,56101999SD11166,Slide & Store COMPACT Packet 4,Tex Bond White,50,1,12:30:00,13:14:00
2022-05-26,K2F002887,30161803SD00325,Slide & Store COMPACT,Tex Bond White,50,1,13:22:00,14:12:00
2022-05-26,K2F002911,30161803SD00653,SLIMLINE 2 DR,ROYAL IVORY,150,1,14:20:00,16:50:00
2022-05-26,K2F002912,30161803SD00661,SLIMLINE 3 DR,ROYAL IVORY,100,1,16:58:00,17:00:00
 , , ,Break, , ,, , 
2022-05-26,K2F002912,30161803SD00661,SLIMLINE 3 DR,ROYAL IVORY,100,1,23:30:00,01:08:00
2022-05-26,K2F002862,30161803SD00173,SLINE 2DR LOCKER Bd R Ivy,ROYAL IVORY,200,1,01:16:00,03:00:00
 , , ,Break, , ,, , 
2022-05-26,K2F002862,30161803SD00173,SLINE 2DR LOCKER Bd R Ivy,ROYAL IVORY,200,1,03:30:00,05:06:00
2022-05-26,K2F002916,WON000030-STMFAG1900I,APPLIANCE GARAGE TALL UNIT 560 D _1900H_900W,RAL WHITE,10,1,05:14:00,05:24:00
2022-05-26,K2F002917,WON000030-STMFUCT56HL,CORNER TALL UNIT_560 D_1900H_1000W,RAL WHITE,10,1,05:32:00,05:42:00
2022-05-26,K2F002915,WON000030-STMFNPT3095,NARROW PULLOUT TALL UNIT 560 D_1900H_300W,RAL WHITE,10,1,05:50:00,06:00:00
2022-05-26,K2F002914,WON000030-STMFNPT2095,NARROW PULLOUT TALL UNIT 560 D_1900H_200W,RAL WHITE,10,1,06:08:00,06:18:00
2022-05-26,K2F002898,WOA017100-56101999SD27146,APO OPT LD MAIN BDY DR_1200W,BOND White,2,1,06:26:00,06:28:00
2022-05-26,K2F002899,WOA017100-56101999SD27166,APO OPT SD MAIN BDY 1200W,BOND White,2,1,06:36:00,06:38:00
2022-05-26,K2F002900,WOA017100-56101999SD27202,APO OPT TD MAIN BDY 1200W_7FT,BOND White,14,1,06:46:00,07:00:00
2022-05-26,K2F002896,WOA017100-56101999SD27066,APO OPT TD ADN BDY 1200W_7FT,BOND White,28,1,07:08:00,07:36:00
2022-05-26,K2F002895,WOA017100-56101999SD26993,APO OPT PKT LD/SD ADN BD 1200W,BOND White,8,1,07:44:00,07:52:00
 , , ,BackLog, , ,, , 
2022-05-26,K2F002897,WOA017100-56101999SD27127,APO OPT PKT FR 4 SHELVS 1200W,BOND White,56,1,08:00:00, 
2022-05-26,K2F002901,WOA017100-56101999SD28857,APO OPT PKT FR 2SHLVS 1200W,BOND White,4,1, , 
2022-05-26,K2F002894,WOA017100-56101999SD26982,APO OPT PKT BK PNL&SLVS 1200W(STO-4533),BOND White,54,1, , 
2022-05-26,K2F002910,30161803SD00337,KREATION ADDON BODY 900,LIGHT CREAM,50,1, , 
2022-05-26,K2F002909,30161803SD00334,KREATION ADDON BODY 450,LIGHT CREAM,100,1, , 
2022-05-26,K2F002884,30161803SD00028,KREATION MAIN BODY 450,LIGHT CREAM,100,1, , 
2022-05-26,K2F002886,30161803SD00080,KREATION MAIN DOOR 450 PRECOATED,DARKWOOD/LC,100,1, , 
2022-05-26,K2F002866,30161803SD00083,KREATION MAIN DOOR 500,SHELL WINE RED,75,1, , 
2022-05-26,K2F002865,30161803SD00068,KREATION OHU DOOR 1000,SHELLWINE RED,50,1, , 
